familia,genero,nombre_cientifico,especie
Heptapteridae,Pimelodella ,Pimelodella cristata,cristata
Auchenipteridae,Tatia,Tatia dunni ,dunni
Auchenipteridae,Ageneiosus,Ageneiosus vittatus ,dunni
Cetopsidae,Cetopsis,Cetopsis candiru ,candiru
Cetopsidae,Cetopsis,Cetopsis coecutiens ,coecutiens 
Cetopsidae,Cetopsis,Cetopsis sp. ,sp.
Pseudopimelodidae,Pseudopimelodus ,Pseudopimelodus bufonius ,bufonius
Pseudopimelodidae,Pseudopimelodus ,Pseudopimelodus bufonius ,bufonius
Aspredinidae,Bunocephalus ,Bunocephalus verrucosus ,verrucosus 
Aspredinidae,Bunocephalus ,Bunocephalus coracoideus,caracoideus
Aspredinidae,Bunocephalus ,Bunocephalus coracoideus,caracoideus
Aspredinidae,Pseudobunocephalus,Pseudobunocephalus bifidus ,bifidus
Aspredinidae,Bunocephalus ,Bunocephalus coracoideus,caracoideus
Aspredinidae,Amaralia,Amaralia hypsiura,hypsiura
Aspredinidae,Bunocephalus ,Bunocephalus coracoideus,caracoideus
Aspredinidae,Bunocephalus ,Bunocephalus coracoideus,caracoideus
Trichomycteridae,Henonemus,Henonemus punctatus ,punctatus
Callichthyidae,Hoplosternum,Hoplosternum littorale ,littorale
Callichthyidae,Megalechis,Megalechis thoracata ,thoracata
Callichthyidae,Callichthys,Callichthys callichthys,callichthys
Callichthyidae,Hoplosternum,Hoplosternum littorale ,littorale
Callichthyidae,Corydoras,Corydoras splendens ,splendens
Callichthyidae,Corydoras,Corydoras leucomelas ,leucomelas
Callichthyidae,Corydoras,Corydoras splendens ,splendens
Callichthyidae,Corydoras,Corydoras multiradiatus ,multiradiatus
Callichthyidae,Callichthys,Callichthys callichthys,callichthys
Callichthyidae,Megalechis,Megalechis thoracata ,thoracata
Callichthyidae,Dianema,Dianema longibarbis ,longibarbis
Callichthyidae,Corydoras,Corydoras leucomelas ,leucomelas
Callichthyidae,Corydoras,Corydoras agassizii ,leucomelas
Callichthyidae,Megalechis,Megalechis thoracata ,thoracata
Callichthyidae,Megalechis,Megalechis picta ,picta
Loricariidae,Ancistrus,Ancistrus sp. 1,sp. 1
Loricariidae,Ancistrus,Ancistrus sp. 2,sp. 2
Loricariidae,Farlowella,Farlowella amazonum ,amazonum 
Loricariidae,Aphanotorulus,Aphanotorulus emarginatus ,emarginatus 
Loricariidae,Chaetostoma,Chaetostoma sp. ,sp.
Loricariidae,Chaetostoma,Chaetostoma sp. ,sp.
Loricariidae,Farlowella,Farlowella amazonum ,amazonum 
Loricariidae,Pterygoplichthys,Pterygoplichthys scrophus,scrophus 
Loricariidae,Hemiodontichthys,Hemiodontichthys acipenserinus,acipenserinus
Loricariidae,Hemiodontichthys,Hemiodontichthys acipenserinus,acipenserinus
Loricariidae,Panaque,Panaque sp. ,sp.
Loricariidae,Aphanotorulus,Aphanotorulus emarginatus ,emarginatus
Loricariidae,Rineloricaria,Rineloricaria cf. wolfei,cf. wolfei
Loricariidae,Pterygoplichthys,Pterygoplichthys pardalis ,pardalis 
Loricariidae,Hypostomus,Hypostomus sp. 1 ,sp. 1
Loricariidae,Pseudorinelepis ,Pseudorinelepis genibarbis ,genibarbis
Loricariidae,Hypostomus,Hypostomus oculeus,oculeus
Loricariidae,Pterygoplichthys,Pterygoplichthys scrophus,scrophus 
Loricariidae,Hypostomus,Hypostomus sp. 2,sp. 2
Loricariidae,Hypostomus,Hypostomus sp. 3 ,sp. 3
Loricariidae,Pterygoplichthys,Pterygoplichthys pardalis ,pardalis 
Loricariidae,Peckoltia,Peckoltia sp. 1,sp. 1
Loricariidae,Hypostomus,Hypostomus sp. 4,sp. 4
Loricariidae,Peckoltia,Peckoltia sp. 2,sp. 2
Loricariidae,Hypoptopoma,Hypoptopoma gulare,gulare
Loricariidae,Pterygoplichthys,Pterygoplichthys scrophus,scrophus 
Loricariidae,Loricariichthys,Loricariichthys sp. ,sp.
Loricariidae,Hypostomus,Hypostomus oculeus,oculeus
Loricariidae,Hypostomus,Hypostomus oculeus,oculeus
Loricariidae,Aphanotorulus,Aphanotorulus emarginatus ,emarginatus
Loricariidae,Spatuloricaria,Spatuloricaria evansii,evansii
Loricariidae,Aphanotorulus,Aphanotorulus emarginatus ,emarginatus
Loricariidae,Peckoltichthys,Peckoltichthys bachi,bachi
Loricariidae,Pterygoplichthys,Pterygoplichthys scrophus,scrophus 
Loricariidae,Peckoltichthys,Peckoltichthys bachi,bachi
Loricariidae,Pseudorinelepis ,Pseudorinelepis genibarbis ,genibarbis
Loricariidae,Aphanotorulus,Aphanotorulus horridus ,horridus
Loricariidae,Pterygoplichthys,Pterygoplichthys pardalis ,pardalis
Loricariidae,Loricariichthys,Loricariichthys maculatus,maculatus
Loricariidae,Loricariichthys,Loricariichthys nudirostris,nudirostris
Loricariidae,Peckoltichthys,Peckoltichthys bachi,bachi
Loricariidae,Hypostomus,Hypostomus oculeus,oculeus
Loricariidae,Loricariichthys,Loricariichthys maculatus,maculatus
Loricariidae,Ancistrus,Ancistrus sp. 2,sp. 2
Sternopygidae,Sternopygus,Sternopygus macrurus,macrurus
Gymnotidae,Electrophorus,Electrophorus varii,varii
Sternopygidae,Sternopygus,Sternopygus macrurus,macrurus
Gymnotidae,Gymnotus,Gymnotus carapo ,carapo
Gymnotidae,Electrophorus,Electrophorus varii,varii
Gymnotidae,Gymnotus,Gymnotus carapo ,carapo
Hypopomidae,Brachyhypopomus,Brachyhypopomus sp.,sp.
Rhamphichthyidae,Rhamphichthys,Rhamphichthys pantherinus ,marmoratus 
